ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
23945.2 3279.4 36527.2 39675.4 12434.3 3523.5 31062.2 54587.2   
23870.4 3116.1 36448.9 39057.9 12340.1 3672.8 30971.4 53896.1   
23822.4 3056.7 36406.5 38278.2 12298.2 3892.6 30928.2 52349.2   
23857.7 3182.5 36446.2 38411.8 12348.7 3836.7 30975.5 52115.1   
23930.6 3289.4 36517.2 39219.7 12428.9 3668.8 31054.9 53362.8   
23947.9 3285.1 36532.4 39685.9 12438.6 3521.6 31067.3 54574.8   
23872.1 3125.0 36455.7 39089.8 12344.4 3657.4 30976.0 53956.0   
23821.6 3054.8 36410.6 38285.7 12298.2 3886.4 30929.3 52389.4   
23862.1 3172.2 36453.0 38383.7 12352.2 3843.7 30983.3 52087.1   
23936.8 3277.0 36526.7 39181.6 12432.4 3677.1 31062.2 53302.6   
23947.1 3285.9 36536.1 39690.0 12435.1 3518.1 31066.5 54565.4   
23873.1 3131.2 36459.4 39125.4 12343.3 3645.3 30978.2 54017.3   
23814.3 3054.8 36404.9 38290.1 12284.5 3889.6 30920.1 52421.0   
23847.5 3173.0 36441.4 38355.4 12335.2 3862.1 30968.5 52036.8   
23927.4 3285.1 36518.3 39167.3 12425.7 3689.0 31056.5 53232.9   
23954.1 3300.5 36543.1 39736.7 12445.9 3496.2 31079.4 54608.0   
23887.2 3139.8 36471.9 39197.5 12357.6 3594.5 30993.6 54176.0   
23820.5 3039.9 36409.0 38295.2 12289.3 3869.4 30925.3 52507.4   
23844.5 3151.7 36436.2 38286.3 12330.4 3890.7 30962.5 51962.9   
23926.9 3276.7 36517.2 39103.0 12424.3 3723.0 31053.8 53107.4   
23956.8 3309.4 36546.9 39740.2 12451.6 3502.2 31083.8 54573.8   
23885.8 3153.3 36470.2 39240.4 12360.3 3582.1 30997.3 54236.5   
23815.6 3044.8 36401.1 38308.1 12286.1 3871.3 30923.4 52543.4   
23840.7 3150.6 36428.1 38256.0 12324.4 3912.3 30958.5 51911.6   
23924.2 3278.9 36508.9 39071.4 12417.8 3744.4 31049.7 53014.8   
23960.6 3318.0 36546.9 39752.9 12451.6 3502.7 31085.4 54551.9   
23891.8 3168.4 36476.7 39301.7 12362.2 3550.0 31000.1 54339.4   
23818.9 3045.6 36404.9 38349.2 12283.4 3841.6 30922.6 52654.1   
23831.8 3141.2 36422.5 38230.4 12312.8 3918.5 30950.4 51897.2   
23910.7 3274.3 36502.4 39021.8 12406.2 3769.5 31042.2 52908.4   
23956.8 3329.6 36547.7 39767.8 12449.4 3507.8 31086.2 54509.5   
23896.9 3180.6 36484.6 39374.1 12365.5 3530.0 31004.9 54408.8   
